Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
1585,1916,Mal neo cerebellum NOS,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1586,1917,Mal neo brain stem,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1587,1918,Malig neo brain NEC,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1588,1919,Malig neo brain NOS,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1589,1920,Mal neo cranial nerves,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1590,1921,Mal neo cerebral mening,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1591,1922,Mal neo spinal cord,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1592,1923,Mal neo spinal meninges,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1593,1928,Mal neo nervous syst NEC,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1594,1929,Mal neo nervous syst NOS,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1595,193,Malign neopl thyroid,Thyroid cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1596,1940,Malign neopl adrenal,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1597,1941,Malig neo parathyroid,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Medium"
1598,1943,Malig neo pituitary,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
